"Date","Open","High","Low","Close","Volume"
"1/5/2000","97.79","97.59","97.59","97.59","11384.12"
"1/6/2000","97.59","97.59","97.59","97.59","20493.47"
"1/7/2000","97.59","97.59","97.59","97.59","6414.46"
"1/12/2000","97.4","97.4","97.4","97.4","28014.57"
"1/13/2000","97.4","97.4","97.4","97.4","22542.82"
"1/14/2000","97.4","98.08","98.08","98.08","2233.79"
"1/17/2000","97.4","97.4","97.4","97.4","307.4"
"1/20/2000","97.4","97.4","97.4","97.4","3278.96"
"1/24/2000","97.59","98.08","98.08","98.08","21518.14"
"1/26/2000","97.59","97.59","97.59","97.59","2766.62"
"1/27/2000","97.59","97.59","97.59","97.59","40986.94"
"1/28/2000","97.4","97.4","97.4","97.4","204.93"
"1/31/2000","97.49","97.49","97.49","97.49","1024.67"
"2/2/2000","96.62","96.62","96.62","96.62","5738.17"
"2/4/2000","96.62","97.01","97.01","97.01","33301.89"
"2/7/2000","96.62","95.64","95.64","95.64","12296.08"
"2/8/2000","96.62","96.62","96.62","96.62","1127.14"
"2/9/2000","96.52","96.52","96.52","96.52","102.47"
"2/10/2000","95.64","95.64","95.64","95.64","5123.37"
"2/11/2000","95.84","95.84","95.84","95.84","41181.63"
"2/16/2000","95.45","95.45","95.45","95.45","1209.11"
"2/17/2000","95.45","95.45","95.45","95.45","1065.66"
"2/18/2000","95.15","94.86","94.86","94.86","44573.3"
"2/21/2000","94.66","94.66","94.66","94.66","112.71"
"2/22/2000","94.66","94.18","94.18","94.18","3074.02"
"2/23/2000","94.18","93.4","93.4","93.4","69114.22"
"2/24/2000","93.4","92.71","92.71","92.71","14191.73"
"2/25/2000","93.2","90.27","90.27","90.27","9478.23"
"2/28/2000","92.71","91.25","91.25","91.25","89054.37"
"2/29/2000","90.96","91.25","91.25","91.25","5522.99"
"3/1/2000","91.44","91.25","91.25","91.25","5123.37"
"3/2/2000","91.44","91.05","91.05","91.05","19468.8"
"3/3/2000","91.25","90.76","90.76","90.76","177268.51"
"3/6/2000","90.76","90.27","90.27","90.27","17860.06"
"3/7/2000","90.27","90.27","90.27","90.27","3176.49"
"3/8/2000","90.27","90.27","90.27","90.27","1024.67"
"3/9/2000","90.76","90.76","90.76","90.76","10338.96"
"3/10/2000","91.64","91.74","91.74","91.74","20083.6"
"3/13/2000","92.71","92.71","92.71","92.71","2049.35"
"3/14/2000","92.71","92.61","92.61","92.61","2910.07"
"3/15/2000","92.71","92.71","92.71","92.71","1537.01"
"3/16/2000","92.71","91.74","91.74","91.74","1741.94"
"3/20/2000","92.71","92.61","92.61","92.61","11271.41"
"3/21/2000","92.71","92.13","92.13","92.13","3074.02"
"3/22/2000","91.74","91.74","91.74","91.74","4088.45"
"3/24/2000","91.64","91.25","91.25","91.25","12296.08"
"3/27/2000","91.74","91.74","91.74","91.74","8627.75"
"3/28/2000","91.74","92.71","92.71","92.71","1332.08"
"3/29/2000","92.71","92.52","92.52","92.52","27953.09"
"3/30/2000","92.42","92.42","92.42","92.42","1332.08"
"3/31/2000","91.74","91.74","91.74","91.74","15370.1"
"4/3/2000","91.74","91.74","91.74","91.74","90570.88"
"4/4/2000","91.74","91.74","91.74","91.74","3873.27"
"4/7/2000","91.25","91.25","91.25","91.25","81615.24"
"4/10/2000","90.76","90.76","90.76","90.76","66747.23"
"4/11/2000","90.27","90.27","90.27","90.27","1864.91"
"4/12/2000","89.88","89.78","89.78","89.78","7480.12"
"4/13/2000","90.76","90.66","90.66","90.66","23157.62"
"4/14/2000","90.96","88.81","88.81","88.81","922.21"
"4/17/2000","88.81","88.81","88.81","88.81","15769.72"
"4/18/2000","87.83","87.83","87.83","87.83","461.1"
"4/19/2000","88.32","92.22","92.22","92.22","65066.76"
"4/20/2000","91.74","91.64","91.64","91.64","20093.85"
"4/21/2000","88.81","91.15","91.15","91.15","17173.53"
"4/24/2000","89.78","89.78","89.78","89.78","10246.73"
"4/25/2000","89.78","88.81","88.81","88.81","3278.96"
"4/26/2000","89.69","88.81","88.81","88.81","239896.55"
"4/27/2000","88.61","88.81","88.81","88.81","4590.54"
"4/28/2000","88.61","88.52","88.52","88.52","2561.68"
"5/2/2000","88.52","88.52","88.52","88.52","409.87"
"5/3/2000","88.71","85.88","85.88","85.88","41652.98"
"5/4/2000","87.74","88.61","88.61","88.61","11824.73"
"5/5/2000","89.59","87.93","87.93","87.93","6834.57"
"5/9/2000","88.61","88.81","88.81","88.81","10441.42"
"5/10/2000","88.81","90.76","90.76","90.76","21241.48"
"5/11/2000","91.15","91.74","91.74","91.74","1711.2"
"5/12/2000","91.93","92.22","92.22","92.22","42165.31"
"5/15/2000","92.71","92.22","92.22","92.22","12910.88"
"5/16/2000","91.83","92.22","92.22","92.22","18403.14"
"5/17/2000","92.22","92.22","92.22","92.22","92.22"
