"Date","Open","High","Low","Close","Volume"
"1/3/2000","66.08","66.37","66.37","66.37","17486.29"
"1/4/2000","65.98","66.18","66.18","66.18","17882.32"
"1/5/2000","65.98","66.18","66.18","66.18","1584.12"
"1/6/2000","65.49","65.68","65.68","65.68","8773.61"
"1/7/2000","65.88","65.78","65.78","65.78","7717.53"
"1/12/2000","65.78","66.08","66.08","66.08","19303.97"
"1/13/2000","66.08","66.18","66.18","66.18","4589.9"
"1/14/2000","66.37","66.18","66.18","66.18","27610.46"
"1/17/2000","66.08","65.98","65.98","65.98","24625"
"1/18/2000","65.88","65.78","65.78","65.78","14358.66"
"1/19/2000","65.88","65.49","65.49","65.49","8022.16"
"1/20/2000","65.49","65.49","65.49","65.49","31509.84"
"1/21/2000","65.19","65.29","65.29","65.29","14135.26"
"1/24/2000","65.49","65.49","65.49","65.49","17374.59"
"1/25/2000","64.99","65.49","65.49","65.49","6062.32"
"1/26/2000","64.99","64.99","64.99","64.99","4772.68"
"1/27/2000","64.6","64.9","64.9","64.9","9027.47"
"1/28/2000","64.8","64.99","64.99","64.99","12114.48"
"1/31/2000","64.6","64.6","64.6","64.6","6346.65"
"2/1/2000","64.5","64.6","64.6","64.6","46640.26"
"2/2/2000","64.6","64.5","64.5","64.5","27610.46"
"2/3/2000","64.5","64.21","64.21","64.21","26381.75"
"2/4/2000","64.31","64.21","64.21","64.21","44132.06"
"2/7/2000","64.21","64.01","64.01","64.01","11870.77"
"2/8/2000","63.81","64.21","64.21","64.21","76139.48"
"2/9/2000","64.01","64.6","64.6","64.6","65284.18"
"2/10/2000","64.31","64.9","64.9","64.9","21101.34"
"2/11/2000","64.99","64.99","64.99","64.99","64685.05"
"2/14/2000","64.9","65.19","65.19","65.19","87583.76"
"2/15/2000","64.99","65.39","65.39","65.39","107080.67"
"2/16/2000","65.19","65.98","65.98","65.98","78292.27"
"2/17/2000","65.88","65.98","65.98","65.98","97443.92"
"2/18/2000","64.8","65.68","65.68","65.68","85136.5"
"2/21/2000","65.59","65.49","65.49","65.49","43654.79"
"2/22/2000","64.99","64.99","64.99","64.99","34708.56"
"2/23/2000","63.71","63.71","63.71","63.71","114656.03"
"2/24/2000","61.35","64.4","64.4","64.4","122272.01"
"2/25/2000","63.71","63.62","63.62","63.62","38526.7"
"2/28/2000","63.22","64.01","64.01","64.01","25183.5"
"2/29/2000","63.03","63.71","63.71","63.71","15810.77"
"3/1/2000","63.91","63.52","63.52","63.52","12622.22"
"3/2/2000","63.22","63.62","63.62","63.62","9565.67"
"3/3/2000","63.62","64.5","64.5","64.5","117702.42"
"3/6/2000","64.11","64.5","64.5","64.5","95809.02"
"3/7/2000","63.71","64.31","64.31","64.31","71833.92"
"3/8/2000","64.21","64.4","64.4","64.4","99281.91"
"3/9/2000","63.91","63.91","63.91","63.91","39999.12"
"3/10/2000","64.01","63.91","63.91","63.91","43847.73"
"3/13/2000","64.01","64.01","64.01","64.01","3584.59"
"3/14/2000","63.62","64.01","64.01","64.01","12419.12"
"3/15/2000","63.71","63.81","63.81","63.81","35632.63"
"3/16/2000","63.71","63.71","63.71","63.71","4874.23"
"3/20/2000","63.71","63.81","63.81","63.81","9697.68"
"3/21/2000","63.81","63.71","63.71","63.71","35277.22"
"3/22/2000","63.62","64.9","64.9","64.9","189059.07"
"3/23/2000","64.99","64.99","64.99","64.99","17080.1"
"3/24/2000","64.01","63.91","63.91","63.91","285467.22"
"3/27/2000","65.98","66.28","66.28","66.28","189566.8"
"3/28/2000","66.28","65.98","65.98","65.98","27681.55"
"3/29/2000","65.39","65.39","65.39","65.39","7697.22"
"3/30/2000","65.39","65.39","65.39","65.39","22959.64"
"3/31/2000","65.29","65.19","65.19","65.19","40212.37"
"4/3/2000","65.29","64.99","64.99","64.99","15841.24"
"4/4/2000","64.21","64.01","64.01","64.01","15881.86"
"4/5/2000","64.01","64.8","64.8","64.8","21984.79"
"4/7/2000","64.5","64.5","64.5","64.5","15211.65"
"4/10/2000","64.8","63.62","63.62","63.62","14358.66"
"4/11/2000","63.81","63.03","63.03","63.03","120809.74"
"4/12/2000","63.12","63.03","63.03","63.03","340058.56"
"4/13/2000","63.03","62.83","62.83","62.83","16328.66"
"4/14/2000","62.93","63.03","63.03","63.03","18654.07"
"4/17/2000","62.83","62.53","62.53","62.53","34393.76"
"4/18/2000","62.14","61.15","61.15","61.15","117123.61"
"4/19/2000","61.55","62.04","62.04","62.04","93625.77"
"4/20/2000","62.04","62.73","62.73","62.73","19253.2"
"4/21/2000","62.93","62.63","62.63","62.63","37064.43"
"4/24/2000","62.53","62.53","62.53","62.53","5209.33"
"4/25/2000","62.43","62.43","62.43","62.43","76992.48"
"4/26/2000","62.24","62.24","62.24","62.24","33154.9"
"4/27/2000","62.24","61.55","61.55","61.55","10378.04"
"4/28/2000","61.55","61.06","61.06","61.06","45045.98"
"5/2/2000","60.56","59.87","59.87","59.87","198685.67"
"5/3/2000","59.87","60.46","60.46","60.46","58775.05"
"5/4/2000","60.66","62.34","62.34","62.34","42080.82"
"5/5/2000","62.53","62.53","62.53","62.53","139037.32"
"5/8/2000","62.93","62.04","62.04","62.04","8651.75"
"5/9/2000","62.14","63.03","63.03","63.03","22076.19"
"5/10/2000","63.91","64.01","64.01","64.01","70747.37"
"5/11/2000","64.31","64.4","64.4","64.4","141464.28"
"5/12/2000","64.99","64.5","64.5","64.5","88111.8"
"5/15/2000","64.7","64.6","64.6","64.6","78840.62"
"5/16/2000","65.39","64.99","64.99","64.99","23812.63"
"5/17/2000","64.8","64.6","64.6","64.6","9047.78"
"5/18/2000","64.8","64.31","64.31","64.31","11352.89"
"5/19/2000","64.11","63.81","63.81","63.81","34434.38"
"5/22/2000","64.11","63.71","63.71","63.71","4742.22"
"5/23/2000","63.71","64.01","64.01","64.01","5534.28"
"5/24/2000","64.01","64.11","64.11","64.11","6864.54"
"5/25/2000","64.4","64.7","64.7","64.7","23670.46"
"5/26/2000","64.7","64.5","64.5","64.5","5331.19"
"5/29/2000","64.5","64.7","64.7","64.7","4315.72"
"5/30/2000","64.6","64.6","64.6","64.6","7483.97"
"5/31/2000","64.6","64.5","64.5","64.5","26006.03"
"6/1/2000","64.5","64.6","64.6","64.6","12672.99"
"6/2/2000","64.5","64.5","64.5","64.5","5239.79"
"6/5/2000","64.21","64.21","64.21","64.21","4427.42"
"6/6/2000","64.31","64.21","64.21","64.21","7666.75"
"6/7/2000","64.21","64.31","64.31","64.31","8072.94"
"6/8/2000","64.31","64.31","64.31","64.31","8357.27"
"6/9/2000","64.11","64.01","64.01","64.01","14023.56"
