"Date","Open","High","Low","Close","Volume"
"1/3/2000","408.8","408.8","408.8","408.8","750"
"1/4/2000","408.8","408.8","408.8","408.8","125"
"1/5/2000","408.8","408.8","408.8","408.8","517.5"
"1/6/2000","404.8","404.8","404.8","404.8","1625"
"1/7/2000","408","408","408","408","180"
"1/12/2000","408","408","408","408","387.5"
"1/13/2000","408","408","408","408","37.5"
"1/14/2000","408.8","408.8","408.8","408.8","836.25"
"1/17/2000","408","408","408","408","562.5"
"1/18/2000","408","408","408","408","376.25"
"1/20/2000","408.8","408.8","408.8","408.8","6.25"
"1/21/2000","409.6","409.6","409.6","409.6","37.5"
"1/24/2000","410.4","410.4","410.4","410.4","793.75"
"1/25/2000","412","412","412","412","400"
"1/26/2000","411.2","411.2","411.2","411.2","250"
"1/27/2000","408","408","408","408","12.5"
"1/28/2000","408","408","408","408","1447.5"
"1/31/2000","411.2","411.2","411.2","411.2","437.5"
"2/2/2000","408","408","408","408","643.75"
"2/3/2000","408.8","408.8","408.8","408.8","50"
"2/4/2000","408","408","408","408","1980"
"2/7/2000","408","408","408","408","377.5"
"2/8/2000","405.6","405.6","405.6","405.6","157.5"
"2/9/2000","401.6","401.6","401.6","401.6","437.5"
"2/10/2000","404","404","404","404","1888.75"
"2/11/2000","404","404","404","404","472.5"
"2/15/2000","404","404","404","404","1625"
"2/17/2000","405.6","405.6","405.6","405.6","150"
"2/18/2000","408","408","408","408","13.75"
"2/21/2000","404","404","404","404","275"
"2/22/2000","403.2","403.2","403.2","403.2","252.5"
"2/23/2000","400","400","400","400","531.25"
"2/24/2000","376","376","376","376","900"
"2/25/2000","381.64","381.64","381.64","381.64","37.5"
"2/28/2000","380","380","380","380","907.5"
"2/29/2000","399.2","399.2","399.2","399.2","481.25"
"3/1/2000","400","400","400","400","312.5"
"3/2/2000","404","404","404","404","62.5"
"3/3/2000","403.2","403.2","403.2","403.2","62.5"
"3/6/2000","400","400","400","400","593.75"
"3/7/2000","400","400","400","400","425"
"3/8/2000","400","400","400","400","825"
"3/10/2000","388","388","388","388","637.5"
"3/13/2000","388","388","388","388","331.25"
"3/15/2000","388","388","388","388","1268.75"
"3/21/2000","388","388","388","388","1048.75"
"3/22/2000","388","388","388","388","263.75"
"3/24/2000","392","392","392","392","68.75"
"3/28/2000","392","392","392","392","262.5"
"3/29/2000","400","400","400","400","1750"
"3/30/2000","399.2","399.2","399.2","399.2","713.75"
"3/31/2000","399.2","399.2","399.2","399.2","375"
"4/3/2000","392","392","392","392","625"
"4/4/2000","392","392","392","392","25"
"4/12/2000","384","384","384","384","1562.5"
"4/13/2000","376","376","376","376","125"
"4/14/2000","376","376","376","376","375"
"4/17/2000","360","360","360","360","1358.75"
"4/18/2000","340.8","340.8","340.8","340.8","940"
"4/19/2000","340.8","340.8","340.8","340.8","575"
"4/20/2000","337.6","337.6","337.6","337.6","937.5"
"4/21/2000","337.6","337.6","337.6","337.6","5046.25"
"4/24/2000","352","352","352","352","37.5"
"4/25/2000","343.2","343.2","343.2","343.2","25"
"4/26/2000","344.16","344.16","344.16","344.16","470"
"4/28/2000","348","348","348","348","37.5"
"5/4/2000","344.8","344.8","344.8","344.8","1348.75"
"5/5/2000","344.08","344.08","344.08","344.08","2083.75"
"5/9/2000","348.8","348.8","348.8","348.8","4065"
"5/10/2000","360.8","360.8","360.8","360.8","4981.25"
"5/11/2000","382.44","382.44","382.44","382.44","1733.75"
"5/12/2000","403.2","403.2","403.2","403.2","692.5"
"5/15/2000","403.2","403.2","403.2","403.2","812.5"
