"Date","Open","High","Low","Close","Volume"
"1/3/2000","386.88","386.88","386.88","386.88","20.16"
"1/5/2000","391.96","391.96","391.96","391.96","20.16"
"1/6/2000","396.68","396.68","396.68","396.68","516.13"
"1/7/2000","394.32","394.32","394.32","394.32","34.27"
"1/12/2000","396.68","396.68","396.68","396.68","127.42"
"1/13/2000","396.8","396.8","396.8","396.8","905.24"
"1/14/2000","396.8","396.8","396.8","396.8","87.1"
"1/17/2000","391.84","391.84","391.84","391.84","532.26"
"1/18/2000","396.8","396.8","396.8","396.8","53.23"
"1/20/2000","395.31","395.31","395.31","395.31","247.98"
"1/21/2000","395.31","395.31","395.31","395.31","0.4"
"1/24/2000","395.31","395.31","395.31","395.31","45.97"
"1/25/2000","379.44","379.44","379.44","379.44","410.89"
"1/26/2000","391.84","391.84","391.84","391.84","4.03"
"1/28/2000","379.44","379.44","379.44","379.44","168.95"
"2/1/2000","384.4","384.4","384.4","384.4","286.29"
"2/3/2000","379.44","379.44","379.44","379.44","20.16"
"2/4/2000","381.92","381.92","381.92","381.92","195.56"
"2/7/2000","372","372","372","372","250.4"
"2/8/2000","372","372","372","372","221.37"
"2/10/2000","349.68","349.68","349.68","349.68","204.44"
"2/11/2000","358.36","358.36","358.36","358.36","120.97"
"2/14/2000","357.12","357.12","357.12","357.12","8.06"
"2/15/2000","354.64","354.64","354.64","354.64","88.71"
"2/16/2000","342.24","342.24","342.24","342.24","161.29"
"2/17/2000","342.24","342.24","342.24","342.24","195.56"
"2/18/2000","357.12","357.12","357.12","357.12","204.44"
"2/21/2000","347.2","347.2","347.2","347.2","60.48"
"2/22/2000","329.84","329.84","329.84","329.84","1584.68"
"2/23/2000","327.36","327.36","327.36","327.36","149.19"
"2/24/2000","322.4","322.4","322.4","322.4","493.95"
"2/25/2000","322.4","322.4","322.4","322.4","282.26"
"2/28/2000","319.92","319.92","319.92","319.92","102.82"
"2/29/2000","319.8","319.8","319.8","319.8","608.87"
"3/1/2000","319.92","319.92","319.92","319.92","112.9"
"3/2/2000","310.74","310.74","310.74","310.74","60.48"
"3/3/2000","310","310","310","310","44.35"
"3/6/2000","305.04","305.04","305.04","305.04","653.23"
"3/7/2000","307.64","307.64","307.64","307.64","201.61"
"3/8/2000","307.52","307.52","307.52","307.52","52.42"
"3/9/2000","302.56","302.56","302.56","302.56","495.97"
"3/10/2000","300.08","300.08","300.08","300.08","524.19"
"3/13/2000","292.89","292.89","292.89","292.89","192.74"
"3/15/2000","277.76","277.76","277.76","277.76","700.4"
"3/16/2000","277.76","277.76","277.76","277.76","158.87"
"3/20/2000","290.16","290.16","290.16","290.16","40.32"
"3/21/2000","277.76","277.76","277.76","277.76","484.68"
"3/22/2000","290.16","290.16","290.16","290.16","258.06"
"3/24/2000","280.24","280.24","280.24","280.24","428.23"
"3/27/2000","277.76","277.76","277.76","277.76","16.13"
"3/28/2000","275.28","275.28","275.28","275.28","189.52"
"3/31/2000","228.71","228.71","228.71","228.71","3227.82"
"4/4/2000","202.12","202.12","202.12","202.12","3268.15"
"4/5/2000","198.4","198.4","198.4","198.4","2906.45"
"4/11/2000","236.24","236.24","236.24","236.24","2302.42"
"4/12/2000","235.6","235.6","235.6","235.6","1484.68"
"4/13/2000","243.04","243.04","243.04","243.04","608.06"
"4/14/2000","241.8","241.8","241.8","241.8","697.58"
"4/17/2000","241.8","241.8","241.8","241.8","745.97"
"4/18/2000","238.08","238.08","238.08","238.08","312.5"
"4/19/2000","233.12","233.12","233.12","233.12","725.81"
"4/20/2000","235.35","235.35","235.35","235.35","655.24"
"4/21/2000","233.12","233.12","233.12","233.12","422.58"
"4/24/2000","223.2","223.2","223.2","223.2","811.69"
"4/26/2000","223.45","223.45","223.45","223.45","1814.52"
"4/27/2000","223.2","223.2","223.2","223.2","2220.97"
"4/28/2000","215.76","215.76","215.76","215.76","730.24"
"5/2/2000","210.8","210.8","210.8","210.8","504.03"
"5/3/2000","205.84","205.84","205.84","205.84","84.68"
"5/4/2000","210.8","210.8","210.8","210.8","1310.48"
"5/5/2000","220.72","220.72","220.72","220.72","140.32"
"5/8/2000","223.2","223.2","223.2","223.2","685.48"
"5/9/2000","223.2","223.2","223.2","223.2","757.26"
"5/10/2000","223.2","223.2","223.2","223.2","1350.81"
"5/11/2000","225.68","225.68","225.68","225.68","967.74"
"5/12/2000","233.12","233.12","233.12","233.12","1290.32"
"5/15/2000","233.12","233.12","233.12","233.12","770.56"
"5/16/2000","235.85","235.85","235.85","235.85","2410.08"
"5/17/2000","235.6","235.6","235.6","235.6","247.98"
"5/18/2000","235.6","235.6","235.6","235.6","846.77"
"5/19/2000","238.08","238.08","238.08","238.08","1144.35"
"5/22/2000","238.08","238.08","238.08","238.08","802.42"
"5/23/2000","235.6","235.6","235.6","235.6","181.45"
"5/24/2000","240.31","240.31","240.31","240.31","625"
"5/26/2000","269.95","269.95","269.95","269.95","4217.34"
"5/29/2000","267.84","267.84","267.84","267.84","1814.11"
"5/30/2000","257.92","257.92","257.92","257.92","1346.77"
"5/31/2000","257.92","257.92","257.92","257.92","1211.29"
"6/1/2000","257.92","257.92","257.92","257.92","362.9"
"6/2/2000","255.44","255.44","255.44","255.44","131.05"
"6/5/2000","257.92","257.92","257.92","257.92","161.29"
"6/6/2000","257.92","257.92","257.92","257.92","38.31"
"6/7/2000","252.96","252.96","252.96","252.96","23.79"
"6/8/2000","252.96","252.96","252.96","252.96","120.97"
"6/9/2000","245.52","245.52","245.52","245.52","333.87"
"6/12/2000","241.8","241.8","241.8","241.8","536.29"
"6/13/2000","228.16","228.16","228.16","228.16","322.58"
"6/14/2000","228.16","228.16","228.16","228.16","135.08"
"6/19/2000","216.26","216.26","216.26","216.26","120.97"
"6/20/2000","228.16","228.16","228.16","228.16","48.39"
"6/21/2000","228.16","228.16","228.16","228.16","60.48"
"6/22/2000","228.16","228.16","228.16","228.16","22.18"
"6/23/2000","228.16","228.16","228.16","228.16","116.94"
"6/26/2000","223.2","223.2","223.2","223.2","98.79"
"6/28/2000","224.44","224.44","224.44","224.44","504.03"
"6/29/2000","224.44","224.44","224.44","224.44","60.48"
"6/30/2000","228.16","228.16","228.16","228.16","403.23"
"7/3/2000","225.93","225.93","225.93","225.93","13.71"
"7/4/2000","233.12","233.12","233.12","233.12","40.32"
"7/5/2000","226.92","226.92","226.92","226.92","24.6"
"7/6/2000","233.12","233.12","233.12","233.12","161.29"
"7/7/2000","227.17","227.17","227.17","227.17","60.48"
"7/10/2000","235.35","235.35","235.35","235.35","322.58"
"7/11/2000","233.12","233.12","233.12","233.12","44.35"
"7/12/2000","227.42","227.42","227.42","227.42","120.97"
"7/13/2000","230.64","230.64","230.64","230.64","231.85"
"7/14/2000","228.41","228.41","228.41","228.41","24.19"
"7/17/2000","233.12","233.12","233.12","233.12","41.94"
"7/18/2000","225.68","225.68","225.68","225.68","252.02"
"7/19/2000","225.68","225.68","225.68","225.68","1993.55"
"7/20/2000","223.2","223.2","223.2","223.2","42.34"
"7/21/2000","223.2","223.2","223.2","223.2","29.44"
"7/24/2000","223.2","223.2","223.2","223.2","464.52"
"7/25/2000","221.96","221.96","221.96","221.96","491.94"
"7/26/2000","215.02","215.02","215.02","215.02","502.02"
"7/27/2000","214.52","214.52","214.52","214.52","522.98"
"7/28/2000","213.28","213.28","213.28","213.28","443.55"
"7/31/2000","205.59","205.59","205.59","205.59","404.84"
"8/1/2000","215.76","215.76","215.76","215.76","201.61"
"8/2/2000","210.55","210.55","210.55","210.55","491.94"
"8/3/2000","215.51","215.51","215.51","215.51","28.23"
"8/4/2000","215.76","215.76","215.76","215.76","40.32"
"8/7/2000","210.8","210.8","210.8","210.8","677.42"
"8/11/2000","220.72","220.72","220.72","220.72","203.63"
"8/15/2000","223.2","223.2","223.2","223.2","272.58"
"8/16/2000","220.72","220.72","220.72","220.72","0.81"
"8/17/2000","210.55","210.55","210.55","210.55","423.39"
"8/18/2000","208.32","208.32","208.32","208.32","1008.06"
"8/22/2000","217.99","217.99","217.99","217.99","403.23"
"8/23/2000","217.99","217.99","217.99","217.99","564.52"
"8/24/2000","217.99","217.99","217.99","217.99","389.92"
"8/25/2000","210.8","210.8","210.8","210.8","1015.32"
"8/28/2000","210.8","210.8","210.8","210.8","3830.65"
"8/29/2000","210.8","210.8","210.8","210.8","475.81"
"8/30/2000","203.36","203.36","203.36","203.36","2822.58"
"8/31/2000","203.36","203.36","203.36","203.36","483.87"
"9/1/2000","210.55","210.55","210.55","210.55","548.39"
"9/4/2000","208.32","205.84","205.84","205.84","261.29"
"9/5/2000","210.55","210.55","210.55","210.55","262.1"
"9/6/2000","210.55","210.55","210.55","210.55","156.45"
"9/7/2000","210.55","210.55","210.55","210.55","1536.29"
"9/8/2000","210.55","209.56","209.56","209.56","9415.32"
"9/11/2000","209.56","209.56","209.56","209.56","979.84"
"9/12/2000","208.32","203.61","203.61","203.61","758.06"
"9/13/2000","205.84","205.84","205.84","205.84","1154.44"
"9/14/2000","207.08","207.08","207.08","207.08","364.92"
"9/15/2000","203.36","203.36","203.36","203.36","2215.73"
"9/18/2000","207.08","207.08","207.08","207.08","217.74"
"9/19/2000","203.36","203.36","203.36","203.36","849.19"
"9/20/2000","200.88","200.88","200.88","200.88","861.69"
"9/21/2000","198.4","197.16","197.16","197.16","2112.9"
"9/22/2000","198.4","198.4","198.4","198.4","597.58"
"9/25/2000","198.4","198.4","198.4","198.4","151.21"
"9/26/2000","197.16","195.92","195.92","195.92","685.48"
"9/27/2000","198.4","198.4","198.4","198.4","756.45"
"9/28/2000","195.92","195.92","195.92","195.92","866.94"
"9/29/2000","198.4","197.16","197.16","197.16","250"
"10/2/2000","190.96","190.96","190.96","190.96","403.23"
"10/3/2000","190.96","190.96","190.96","190.96","2040.32"
"10/4/2000","190.96","190.96","190.96","190.96","403.23"
"10/5/2000","190.96","190.96","190.96","190.96","1370.97"
"10/6/2000","190.96","190.96","190.96","190.96","1616.53"
"10/9/2000","190.96","190.96","190.96","190.96","490.73"
"10/10/2000","190.96","191.21","191.21","191.21","1345.97"
"10/11/2000","190.46","190.46","190.46","190.46","1178.23"
"10/12/2000","195.92","186","186","186","1129.03"
"10/13/2000","194.68","194.68","194.68","194.68","24.19"
"10/16/2000","195.92","195.42","195.42","195.42","250"
