"Date","Open","High","Low","Close","Volume"
"1/3/2000","594.36","603.11","603.11","603.11","840.9"
"1/4/2000","607.98","611.87","611.87","611.87","1761.99"
"1/5/2000","617.7","617.7","617.7","617.7","177.84"
"1/6/2000","620.62","617.7","617.7","617.7","642.5"
"1/7/2000","614.79","617.7","617.7","617.7","204.57"
"1/12/2000","619.65","619.65","619.65","619.65","7.2"
"1/13/2000","607.98","611.87","611.87","611.87","164.48"
"1/14/2000","607.98","607.98","607.98","607.98","51.4"
"1/17/2000","595.33","598.25","598.25","598.25","80.18"
"1/18/2000","609.92","609.92","609.92","609.92","11.31"
"1/19/2000","600.19","600.19","600.19","600.19","155.23"
"1/20/2000","599.22","602.14","602.14","602.14","905.67"
"1/21/2000","594.36","594.36","594.36","594.36","701.1"
"1/24/2000","591.44","591.44","591.44","591.44","433.82"
"1/25/2000","591.44","591.44","591.44","591.44","33.92"
"1/27/2000","591.44","593.39","593.39","593.39","55.51"
"1/28/2000","591.44","595.33","595.33","595.33","129.53"
"1/31/2000","591.44","588.52","588.52","588.52","185.04"
"2/1/2000","585.6","585.6","585.6","585.6","83.27"
"2/2/2000","585.6","573.93","573.93","573.93","408.12"
"2/3/2000","573.93","574.9","574.9","574.9","168.59"
"2/4/2000","590.47","575.88","575.88","575.88","1453.59"
"2/7/2000","573.93","584.63","584.63","584.63","193.26"
"2/8/2000","584.63","584.63","584.63","584.63","822.4"
"2/9/2000","573.93","583.66","583.66","583.66","449.24"
"2/10/2000","573.93","573.93","573.93","573.93","115.14"
"2/11/2000","578.79","581.71","581.71","581.71","11448.84"
"2/14/2000","583.66","564.2","564.2","564.2","2744.76"
"2/15/2000","564.2","564.2","564.2","564.2","3143.62"
"2/16/2000","564.2","564.2","564.2","564.2","4153.12"
"2/17/2000","560.31","564.2","564.2","564.2","4721.6"
"2/18/2000","547.67","547.67","547.67","547.67","162.42"
"2/21/2000","541.83","541.83","541.83","541.83","143.92"
"2/22/2000","556.42","539.88","539.88","539.88","1686.95"
"2/23/2000","542.8","526.26","526.26","526.26","7211.42"
"2/24/2000","530.16","525.29","525.29","525.29","11458.09"
"2/25/2000","549.61","553.5","553.5","553.5","4580.77"
"2/28/2000","540.86","554.47","554.47","554.47","3344.08"
"2/29/2000","554.47","582.68","582.68","582.68","3223.81"
"3/1/2000","578.79","581.71","581.71","581.71","3930.04"
"3/2/2000","564.2","579.77","579.77","579.77","662.03"
"3/3/2000","570.04","581.71","581.71","581.71","613.72"
"3/6/2000","573.93","564.2","564.2","564.2","148.03"
"3/7/2000","564.2","565.18","565.18","565.18","2956.53"
"3/8/2000","569.07","564.2","564.2","564.2","377.28"
"3/9/2000","564.2","564.2","564.2","564.2","418.4"
"3/10/2000","555.45","567.12","567.12","567.12","1252.1"
"3/13/2000","568.09","561.28","561.28","561.28","2244.12"
"3/14/2000","555.45","554.47","554.47","554.47","772.03"
"3/15/2000","554.47","554.47","554.47","554.47","59.62"
"3/16/2000","559.34","559.34","559.34","559.34","20.56"
"3/20/2000","559.34","559.34","559.34","559.34","402.98"
"3/21/2000","556.42","548.64","548.64","548.64","2541.22"
"3/22/2000","554.47","550.58","550.58","550.58","169.62"
"3/23/2000","552.53","553.5","553.5","553.5","4546.84"
"3/24/2000","544.75","553.5","553.5","553.5","54.48"
"3/27/2000","544.75","539.88","539.88","539.88","1389.86"
"3/28/2000","545.72","539.88","539.88","539.88","238.5"
"3/29/2000","537.94","535.02","535.02","535.02","2359.26"
"3/30/2000","532.1","532.1","532.1","532.1","108.97"
"3/31/2000","531.13","549.61","549.61","549.61","502.69"
"4/3/2000","525.29","521.4","521.4","521.4","55.51"
"4/4/2000","539.88","535.99","535.99","535.99","906.7"
"4/5/2000","531.13","535.02","535.02","535.02","147"
"4/7/2000","535.02","544.75","544.75","544.75","1377.52"
"4/10/2000","535.02","535.02","535.02","535.02","1169.86"
"4/11/2000","539.88","539.88","539.88","539.88","490.36"
"4/12/2000","527.24","527.24","527.24","527.24","379.33"
"4/13/2000","520.43","520.43","520.43","520.43","234.38"
"4/14/2000","520.43","517.51","517.51","517.51","2426.08"
"4/17/2000","514.59","515.56","515.56","515.56","467.74"
